tripduration,starttime,stoptime,start station id,start station name,start station latitude,start station longitude,end station id,end station name,end station latitude,end station longitude,bikeid,usertype,birth year,gender,start_building,start_lon,start_lat,target_building,target_lon,target_lat,start_time,target_time
2770,2019-10-07 00:33:38.5820,2019-10-07 01:19:48.9030,402,Washington St at Griggs Rd,42.33833423719901,-71.13050930220197,9,Commonwealth Ave at Agganis Way,42.35169201885972,-71.11903488636017,3529,Subscriber,1986,1,119415,-71.13398960987996,42.33821638125402,224271,-71.12077987972572,42.35034065275012,2018.0,4788.0
1197,2019-10-07 00:34:46.9620,2019-10-07 00:54:44.9300,187,Cypress St at Clark Playground,42.32784317478686,-71.1253622174263,107,Ames St at Main St,42.3625,-71.08821999999999,5879,Subscriber,1973,1,174679,-71.12628184766479,42.326687702668806,4322,-71.0893407361855,42.360318835832615,2086.0,3284.0
535,2019-10-07 00:35:51.2040,2019-10-07 00:44:46.6370,91,One Kendall Square at Hampshire St / Portland St,42.366277000000004,-71.09169,79,Beacon St at Washington / Kirkland,42.37842,-71.10566800000001,4868,Subscriber,1994,2,125651,-71.09475846931913,42.367233639591056,6429,-71.10443788289211,42.379356025983355,2151.0,2686.0
408,2019-10-07 00:36:00.5080,2019-10-07 00:42:49.3690,365,Harrison Ave at Bennet St,42.34942609892521,-71.06209959843909,39,Washington St at Rutland St,42.338514601785995,-71.07404083013535,3233,Subscriber,1996,1,249033,-71.06149008901947,42.34980170505872,254111,-71.07632790000001,42.33824785,2160.0,2569.0
271,2019-10-07 00:37:36.0550,2019-10-07 00:42:07.2280,68,Central Square at Mass Ave / Essex St,42.36507,-71.1031,225,Cambridge Dept. of Public Works -147 Hampshire St.,42.37119727759414,-71.09759867191316,5194,Customer,1992,1,176475,-71.10638530488612,42.36454661975107,17348,-71.10014406555979,42.3700623106259,2256.0,2527.0
303,2019-10-07 00:39:27.1220,2019-10-07 00:44:30.1770,332,Harvard Ave at Brainerd Rd,42.349530168903755,-71.13022770741735,9,Commonwealth Ave at Agganis Way,42.35169201885972,-71.11903488636017,5039,Customer,1969,0,122711,-71.13014991115887,42.352102075972404,185488,-71.12046221378321,42.34994847053463,2367.0,2670.0
690,2019-10-07 00:39:52.8260,2019-10-07 00:51:23.5970,179,MIT Vassar St,42.35560121327927,-71.10394477844237,221,Verizon Innovation Hub 10 Ware Street,42.37250864997261,-71.11305356025694,3027,Customer,1969,0,85709,-71.10192810158026,42.35765891586331,184701,-71.11382718196816,42.370081543247494,2392.0,3083.0
382,2019-10-07 00:41:35.8970,2019-10-07 00:47:58.5430,67,MIT at Mass Ave / Amherst St,42.3581,-71.093198,318,Ames St at Broadway,42.363692900000004,-71.0875672,3894,Subscriber,1991,1,45423,-71.0935174163953,42.35825591799676,225149,-71.08704649999999,42.365527150000005,2495.0,2878.0
310,2019-10-07 00:42:38.0440,2019-10-07 00:47:48.8000,29,Innovation Lab - 125 Western Ave at Batten Way,42.363732,-71.124565,97,Harvard University River Houses at DeWolfe St / Cowperthwaite St,42.36919031768079,-71.11714124679565,5965,Subscriber,1998,1,116171,-71.1256116011786,42.36133759937446,56187,-71.11549255,42.369930249999996,2558.0,2868.0
327,2019-10-07 00:42:51.5130,2019-10-07 00:48:19.4780,29,Innovation Lab - 125 Western Ave at Batten Way,42.363732,-71.124565,97,Harvard University River Houses at DeWolfe St / Cowperthwaite St,42.36919031768079,-71.11714124679565,5275,Subscriber,1997,1,58679,-71.12447288132071,42.36321314296984,62229,-71.11408765695424,42.36917845746712,2571.0,2899.0
